ID,Severity,Confidence,Area,Title,File,Lines,Classification,UserVisibleRisk,RecommendedPhase
AUD-001,P1,High,Server/API,Public tracking endpoint permits counter and outbound-request amplification,src/app/api/track/route.js; src/lib/tracking/kommuneLookup.js; src/lib/tracking/aggregates.js,"20-34; 82-101; 127-138",Confirmed defect,Yes,Phase 0
AUD-002,P2,High,Privacy/Stats,Public statistics disclose municipality-by-day adoption data,src/app/api/stats/route.js; src/features/user-tracking/README.md; src/app/page.js,"174-205, 211-273; 22-29; 220-224",Confirmed defect,Yes,Phase 1
AUD-003,P2,High,Stats/Reliability,Statistics silently truncate and cold requests fan out without bounds,src/app/api/stats/route.js,"42-53, 211-273",Confirmed defect,Yes,Phase 1
AUD-004,P2,High,Server/API,Health endpoint exposes diagnostics and accepts secrets in URLs,src/app/api/track/health/route.js; README.md,"8-24, 27-77, 101-121; 97",Confirmed defect,Conditional,Phase 0
AUD-005,P3,High,Server/API,Tracking debug endpoint is deployed without a production guard,src/app/api/track/debug/route.js,"3-45",Defence-in-depth improvement,No,Phase 0
AUD-006,P2,High,Persistence,JSON fallback is non-atomic non-durable on Vercel and fails silently,src/lib/tracking/aggregates.js; src/app/api/track/route.js; src/app/api/stats/route.js,"23-42, 72-124, 127-138; 31-47; 56-69",Confirmed defect,Yes,Phase 1
AUD-007,P2,High,Privacy/Retention,Retention is unenforced and live usage aggregates are version-controlled,src/features/user-tracking/supabase.sql; src/features/user-tracking/README.md; data/usage/aggregates.json; .gitignore,"1-15; 25-29; 1-31; 33-48",Confirmed defect,Conditional,Phase 1
AUD-008,P2,High,Client Parsing,Files have no size limit and parsing runs synchronously on the main thread,src/components/FileUpload.js; src/lib/parsing/gmiParser.js; src/lib/parsing/kofParser.js,"103-169, 288-293; 12-28; 14-16",Confirmed defect,Yes,Phase 1
AUD-009,P2,High,Terrain/Geometry,Non-finite or extreme coordinates can cause unbounded sample expansion,src/lib/parsing/gmiParser.js; src/lib/analysis/lineSampling.js; src/components/TerrainFetcher.js,"155-189; 174-243; 130-156",Confirmed defect,Yes,Phase 0
AUD-010,P2,High,Parsing/Validation,Missing Z values become zero and are treated as present by incline analysis,src/lib/parsing/normalizeFeature.js; src/lib/analysis/incline.js; src/lib/analysis/zValidation.js,"27-37; 119-132; 9-14",Confirmed defect,Yes,Phase 0
AUD-011,P2,High,Client Parsing,Weak parse acceptance and fixed Latin-1 decoding allow misleading partial results,src/components/FileUpload.js; src/lib/parsing/normalizeFeature.js; src/lib/parsing/kofParser.js,"65-100, 148-183, 288-293; 43-69; 240-262",Confirmed defect,Yes,Phase 1
AUD-012,P2,High,Network/State,Terrain requests lack timeout cancellation and dataset-generation binding,src/lib/analysis/terrain.js; src/components/TerrainFetcher.js; src/lib/store.js,"145-228; 115-167, 246-368, 402-407; 622-635",Confirmed defect,Yes,Phase 0
AUD-013,P2,High,State Management,Removing a layer can leave legacy state showing the removed dataset,src/lib/store.js; src/components/FileUpload.js,"1927-1984; 211-217",Confirmed defect,Yes,Phase 1
AUD-014,P2,High,Privacy/Network,Precise derived coordinates leave the browser without in-app transparency,src/components/FileUpload.js; src/lib/analysis/terrain.js; README.md,"19-49, 219-227; 175-182; 101-108",Confirmed defect,Yes,Phase 1
AUD-015,P2,High,Frontend Reliability,Conditional hooks can crash the profile view when result validity changes,src/components/InclineAnalysisModal.js,"750-835",Confirmed defect,Yes,Phase 0
AUD-016,P3,High,Resource Cleanup,Authenticated WMS tile blob URLs are never revoked,src/components/AuthenticatedWmsLayer.js,"48-101",Confirmed defect,Yes,Phase 2
AUD-017,P3,High,Dependencies,Audit reports affected production packages but most vulnerable paths are not evidenced,package-lock.json; package.json,"5937-5948, 6796-6805, 7611-7615, 7870-7879; 11-31",Dependency advisory / reachability unconfirmed,Conditional,Phase 1
AUD-018,P3,High,Security Configuration,Repository defines no application security-header policy,next.config.mjs,"1-5",Defence-in-depth improvement,No,Phase 2
AUD-019,P2,High,Tests/CI,No CI exists and both available lint paths fail,package.json; eslint.config.mjs; tests/wmsProxyPolicy.test.mjs,"5-10; 1-16; 1-440",Missing test coverage / confirmed tooling defect,Yes,Phase 0
AUD-020,P3,High,Accessibility,Norwegian UI is declared English and major modals lack dialog semantics,src/app/layout.js; src/components/StatsModal.js,"12-25; 260-320",Confirmed defect,Yes,Phase 2
